City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tari,-11.1105,14.3559,15.16,92.0,87.0,0.73,AO,1722821963.0
awjilah,29.1081,21.2869,27.02,48.0,0.0,2.45,LY,1722821963.0
iqaluit,63.7506,-68.5145,5.85,93.0,100.0,1.54,CA,1722821963.0
namibe,-15.1961,12.1522,15.48,89.0,1.0,1.98,AO,1722821963.0
hermanus,-34.4187,19.2345,9.89,69.0,57.0,7.73,ZA,1722821963.0
wailua homesteads,22.0669,-159.378,27.44,70.0,100.0,6.69,US,1722821963.0
broken hill,-31.95,141.4333,11.52,77.0,99.0,4.15,AU,1722821838.0
chunskiy,56.0815,99.6342,20.62,59.0,0.0,0.52,RU,1722821963.0
longyearbyen,78.2186,15.6401,8.91,87.0,75.0,4.63,SJ,1722821963.0
riohacha,11.5444,-72.9072,28.81,66.0,52.0,6.8,CO,1722821963.0
bilibino,68.0546,166.4372,9.91,59.0,100.0,3.61,RU,1722821963.0
san patricio,28.017,-97.5169,30.5,64.0,3.0,4.54,US,1722821963.0
hithadhoo,-0.6,73.0833,28.37,76.0,100.0,4.15,MV,1722821963.0
polyarnyy,69.1989,33.4478,8.68,83.0,4.0,0.5,RU,1722821690.0
prince rupert,54.3161,-130.3201,15.05,88.0,0.0,7.2,CA,1722821963.0
mchinji,-13.7984,32.8802,12.88,48.0,6.0,1.28,MW,1722821963.0
aasiaat,68.7098,-52.8699,1.41,92.0,4.0,2.26,GL,1722821963.0
murun-kuren,49.6342,100.1625,18.51,64.0,100.0,1.84,MN,1722821963.0
ribeira grande,38.5167,-28.7,24.87,95.0,33.0,3.13,PT,1722821963.0
zabol,32.25,67.25,23.12,64.0,82.0,3.19,AF,1722821963.0
zeya,53.75,127.2667,17.41,99.0,100.0,3.01,RU,1722821963.0
hastings,50.8552,0.5729,16.27,86.0,78.0,4.48,GB,1722821964.0
college,64.8569,-147.8028,25.04,50.0,75.0,3.09,US,1722821964.0
ceeldheer,3.8488,47.1806,23.51,81.0,27.0,7.81,SO,1722821964.0
saudarkrokur,65.7461,-19.6394,10.89,82.0,100.0,5.88,IS,1722821964.0
alo,6.5486,4.2686,23.81,88.0,34.0,2.6,NG,1722821964.0
whitehorse,60.7161,-135.0538,23.94,25.0,20.0,2.57,CA,1722821703.0
ilulissat,69.2167,-51.1,7.01,76.0,40.0,0.51,GL,1722821964.0
ponmana,,,,,,,,
hadibu,12.65,54.0333,25.31,84.0,100.0,9.94,YE,1722821719.0
hamilton,39.1834,-84.5333,28.01,74.0,20.0,2.06,US,1722821417.0
puerto ayora,-0.7393,-90.3518,19.75,94.0,44.0,0.45,EC,1722821964.0
margaret river,-33.95,115.0667,16.27,80.0,83.0,6.96,AU,1722821964.0
stanley,54.868,-1.6985,15.71,91.0,40.0,3.09,GB,1722821964.0
brownsville,25.9018,-97.4975,29.99,76.0,0.0,4.12,US,1722821964.0
bor,56.3567,44.0669,13.96,94.0,16.0,1.77,RU,1722821964.0
alesund,62.4723,6.1549,15.18,93.0,100.0,0.0,NO,1722821964.0
ghanzi,-21.5667,21.7833,12.28,27.0,0.0,6.38,BW,1722821964.0
nyrob,60.733,56.7202,14.26,99.0,100.0,1.2,RU,1722821964.0
tolanaro,-25.0319,46.9987,17.04,94.0,20.0,1.03,MG,1722821964.0
tataouine,32.9297,10.4518,23.14,90.0,0.0,4.62,TN,1722821964.0
sisimiut,66.9395,-53.6735,8.88,76.0,100.0,0.48,GL,1722821964.0
tonj,7.2737,28.6822,22.02,96.0,100.0,1.99,SS,1722821970.0
savave village,,,,,,,,
presidente dutra,-5.29,-44.49,22.65,43.0,0.0,1.59,BR,1722821970.0
port elizabeth,-33.918,25.5701,11.16,53.0,0.0,8.75,ZA,1722821970.0
vilyuchinsk,52.9306,158.4028,21.15,75.0,91.0,2.9,RU,1722821970.0
gubkinskiy,64.434,76.5026,13.26,67.0,100.0,8.39,RU,1722821970.0
znamenskoye,57.1281,73.8282,16.53,91.0,69.0,2.18,RU,1722821970.0
natal,-5.795,-35.2094,22.36,88.0,20.0,3.09,BR,1722821807.0
west island,-12.1568,96.8225,25.99,73.0,100.0,5.66,CC,1722821970.0
kodiak,57.79,-152.4072,11.73,100.0,100.0,5.14,US,1722821970.0
nan,18.8333,100.6667,24.01,94.0,75.0,1.03,TH,1722821970.0
kuala belait,4.5833,114.1833,27.09,80.0,37.0,1.78,BN,1722821970.0
yazd,31.8972,54.3675,31.06,18.0,40.0,1.03,IR,1722821970.0
at taj,24.2049,23.2857,27.1,23.0,74.0,4.22,LY,1722821971.0
wanlaweyn,2.6185,44.8938,22.08,80.0,100.0,4.01,SO,1722821971.0
nova sintra,14.8667,-24.7167,26.59,79.0,88.0,2.39,CV,1722821971.0
akureyri,65.6835,-18.0878,11.96,71.0,100.0,3.6,IS,1722821971.0
nevel',56.0209,29.9284,12.18,95.0,12.0,1.23,RU,1722821971.0
ciudad sabinas hidalgo,26.5,-100.1667,30.75,41.0,0.0,3.34,MX,1722821971.0
revda,56.801,59.9303,14.21,94.0,100.0,2.18,RU,1722821971.0
yeppoon city centre,,,,,,,,
lodja,-3.4833,23.4333,20.5,68.0,12.0,0.86,CD,1722821971.0
moussoro,13.6408,16.4901,23.99,85.0,100.0,4.45,TD,1722821971.0
quepos,9.4236,-84.1652,26.26,85.0,100.0,1.0,CR,1722821971.0
pechora,65.1472,57.2244,13.5,82.0,100.0,3.67,RU,1722821905.0
afaahiti,-17.75,-149.2833,26.93,75.0,9.0,5.84,PF,1722821705.0
saint-philippe,-21.3585,55.7679,18.77,76.0,33.0,2.79,RE,1722821971.0
fort mcmurray,56.7268,-111.381,23.77,33.0,0.0,1.54,CA,1722821971.0
camabatela,-8.1881,15.375,13.61,94.0,98.0,2.1,AO,1722821971.0
whangarei,-35.7317,174.3239,14.2,55.0,78.0,1.66,NZ,1722821971.0
evinayong,1.4368,10.5512,19.0,95.0,100.0,1.07,GQ,1722821971.0
albany,42.6001,-73.9662,23.71,69.0,0.0,0.45,US,1722821971.0
jamestown,42.097,-79.2353,22.8,64.0,0.0,3.09,US,1722821737.0
toga village,,,,,,,,
les avirons,-21.2418,55.3394,17.05,55.0,20.0,4.12,RE,1722821971.0
ataq,14.5377,46.8319,22.38,80.0,100.0,9.31,YE,1722821972.0
forbes,-33.3833,148.0167,13.29,63.0,100.0,0.78,AU,1722821972.0
sibulan,9.3584,123.285,30.01,74.0,40.0,3.09,PH,1722821972.0
isla vista,34.4133,-119.861,31.66,50.0,77.0,2.43,US,1722821972.0
anadyr,64.75,177.4833,6.28,100.0,100.0,9.0,RU,1722821972.0
la paz,-16.5,-68.15,8.99,65.0,20.0,3.09,BO,1722821428.0
cidreira,-30.1811,-50.2056,16.17,100.0,100.0,2.88,BR,1722821972.0
papao,-17.75,-149.55,27.82,75.0,6.0,6.77,PF,1722821972.0
posse,-14.0931,-46.3694,18.7,53.0,0.0,2.72,BR,1722821972.0
santa marta,11.2408,-74.199,29.03,79.0,20.0,1.54,CO,1722821972.0
petropavlovsk-kamchatsky,53.0452,158.6483,20.33,60.0,20.0,4.0,RU,1722821972.0
ilhabela,-23.7781,-45.3581,21.36,82.0,84.0,1.77,BR,1722821972.0
badger,64.8,-147.5333,24.99,50.0,0.0,3.09,US,1722821972.0
coyhaique,-45.5752,-72.0662,1.45,98.0,100.0,1.05,CL,1722821926.0
aktau,43.65,51.2,23.32,48.0,0.0,4.58,KZ,1722821972.0
la'ie,21.6477,-157.9253,30.98,70.0,6.0,4.02,US,1722821977.0
sitka,57.0531,-135.33,25.94,38.0,0.0,3.09,US,1722821977.0
'ohonua,,,,,,,,
kuta,-8.7233,115.1723,28.97,74.0,40.0,4.12,ID,1722821977.0
cabo san lucas,22.8909,-109.9124,33.12,42.0,20.0,5.14,MX,1722821977.0
concordia,-31.393,-58.0209,13.21,96.0,100.0,1.79,AR,1722821759.0
hami,42.8,93.45,32.52,16.0,99.0,3.97,CN,1722821793.0
constantia,44.1833,28.65,19.38,74.0,5.0,3.98,RO,1722821977.0
ain temouchent,35.2975,-1.1404,23.02,73.0,0.0,1.3,DZ,1722821978.0
dock junction,31.2025,-81.5168,28.0,91.0,0.0,6.69,US,1722821978.0
chabahar,25.2919,60.643,28.89,83.0,100.0,6.02,IR,1722821978.0
kargasok,59.0556,80.8572,18.44,90.0,100.0,2.39,RU,1722821978.0
uturoa,-16.7333,-151.4333,24.78,72.0,5.0,7.07,PF,1722821978.0
colonia,50.9333,6.95,17.76,83.0,0.0,0.51,DE,1722821950.0
weno,7.4515,151.8468,31.97,79.0,75.0,4.12,FM,1722821978.0
chemolgan,43.1897,76.5292,21.81,28.0,97.0,1.6,KZ,1722821978.0
iskateley,67.6803,53.1512,7.63,68.0,73.0,6.5,RU,1722821978.0
minas de marcona,-15.2119,-75.1103,10.48,88.0,40.0,4.42,PE,1722821978.0
vila franca do campo,37.7167,-25.4333,23.23,91.0,5.0,2.01,PT,1722821978.0
kristiansund,63.1115,7.732,16.03,93.0,100.0,1.03,NO,1722821978.0
nar'yan-mar,67.6713,53.087,7.65,68.0,78.0,6.51,RU,1722821978.0
siwa oasis,29.2041,25.5195,28.61,38.0,53.0,2.46,EG,1722821978.0
payakumbuh,-0.2202,100.6308,25.36,81.0,65.0,1.37,ID,1722821978.0
cairns city,,,,,,,,
solaro,44.8799,9.1732,21.91,87.0,100.0,0.85,IT,1722821978.0
ribeira brava,32.65,-17.0667,23.35,79.0,0.0,0.72,PT,1722821978.0
aloja,57.7669,24.8825,12.54,95.0,52.0,0.83,LV,1722821978.0
hawaiian paradise park,19.5933,-154.9731,26.52,78.0,100.0,7.2,US,1722821978.0
ust-nera,64.5667,143.2,16.54,50.0,59.0,2.12,RU,1722821978.0
san angelo,31.4638,-100.437,33.3,40.0,0.0,2.24,US,1722821901.0
nako,31.8814,78.627,16.46,82.0,77.0,1.37,IN,1722821979.0
coahuayana de hidalgo,18.7,-103.6583,25.81,88.0,100.0,1.33,MX,1722821979.0
nouadhibou,20.931,-17.0347,23.99,88.0,40.0,4.63,MR,1722821979.0
oral,51.2333,51.3667,14.99,82.0,0.0,3.0,KZ,1722821979.0
lubumbashi,-11.6609,27.4794,13.35,33.0,4.0,1.08,CD,1722821979.0
suva,-18.1416,178.4415,23.71,73.0,75.0,2.57,FJ,1722821979.0
mutsu,41.2894,141.2169,24.01,83.0,75.0,3.09,JP,1722821979.0
lebu,-37.6167,-73.65,10.42,95.0,100.0,10.23,CL,1722821904.0
biloela,-24.4167,150.5,22.09,45.0,44.0,6.05,AU,1722821979.0
guajara mirim,-10.7828,-65.3394,25.73,60.0,2.0,0.69,BR,1722821979.0
sonsorol village,,,,,,,,
san luis de la loma,17.2706,-100.8939,26.01,88.0,100.0,3.0,MX,1722821888.0
lihue,21.9789,-159.3672,27.77,70.0,100.0,6.69,US,1722821942.0
chonchi,-42.6128,-73.8092,7.56,98.0,100.0,3.04,CL,1722821979.0
beyneu,45.3167,55.2,29.55,28.0,89.0,3.3,KZ,1722821979.0
kavieng,-2.5744,150.7967,28.86,72.0,99.0,4.23,PG,1722821979.0
fort bragg,35.139,-79.006,25.67,92.0,75.0,1.54,US,1722821979.0
hotan,37.0997,79.9269,28.3,32.0,100.0,2.71,CN,1722821979.0
ancud,-41.8697,-73.8203,8.15,90.0,100.0,8.65,CL,1722821979.0
keflavik,64.0049,-22.5624,11.95,87.0,100.0,7.72,IS,1722821979.0
mentor-on-the-lake,41.705,-81.3604,25.19,72.0,0.0,0.0,US,1722821985.0
puerto san carlos,,,,,,,,
happy valley-goose bay,53.3168,-60.3315,20.17,56.0,40.0,3.09,CA,1722821985.0
vorgashor,67.5833,63.95,10.29,58.0,50.0,5.5,RU,1722821985.0
lundazi,-12.2929,33.1782,13.74,60.0,37.0,3.14,ZM,1722821985.0
sihanoukville,10.6093,103.5296,26.97,83.0,40.0,6.17,KH,1722821985.0
amuntai,-2.4177,115.2494,29.68,59.0,67.0,0.71,ID,1722821985.0
murygino,58.7383,49.4582,14.29,97.0,92.0,1.28,RU,1722821985.0
mount darwin,-16.7725,31.5838,10.22,39.0,15.0,1.4,ZW,1722821985.0
fort st. john,56.2499,-120.8529,13.94,82.0,75.0,4.12,CA,1722821985.0
xuchang,34.0167,113.8167,31.48,72.0,0.0,3.4,CN,1722821985.0
altai,46.3722,96.2583,19.77,25.0,7.0,0.13,MN,1722821985.0
north bend,43.4065,-124.2243,18.29,77.0,100.0,3.6,US,1722821985.0
bamboo flat,11.7,92.7167,27.05,89.0,40.0,0.51,IN,1722821985.0
utrik,11.2278,169.8474,28.61,79.0,23.0,6.48,MH,1722821985.0
fale old settlement,-9.3852,-171.2468,27.78,80.0,100.0,5.97,TK,1722821985.0
susuman,62.7833,148.1667,18.07,36.0,13.0,2.87,RU,1722821985.0
dera bugti,29.0307,69.151,28.69,75.0,11.0,2.9,PK,1722821985.0
makhambet,47.6667,51.5833,25.89,38.0,0.0,2.36,KZ,1722821985.0
galesong,-5.3166,119.3661,28.01,52.0,66.0,1.41,ID,1722821986.0
vila velha,-20.3297,-40.2925,21.08,97.0,75.0,1.54,BR,1722821900.0
idrinskoye,54.3708,92.1358,18.43,87.0,85.0,1.47,RU,1722821986.0
sur,22.5667,59.5289,27.75,78.0,100.0,4.16,OM,1722821986.0
khorixas,-20.3667,14.9667,13.99,36.0,0.0,1.56,NA,1722821986.0
paracuru,-3.41,-39.0306,26.15,76.0,5.0,6.82,BR,1722821986.0
muroran,42.3172,140.9881,21.6,87.0,100.0,1.79,JP,1722821986.0
thompson,55.7435,-97.8558,20.09,40.0,20.0,2.06,CA,1722821986.0
kourou,5.1552,-52.6478,26.03,86.0,50.0,3.46,GF,1722821986.0
ingeniero guillermo n. juarez,-23.9,-61.85,21.08,64.0,41.0,3.02,AR,1722821986.0
karratha,-20.7377,116.8463,19.21,52.0,0.0,8.3,AU,1722821986.0
puerto penasco,31.3167,-113.5333,33.28,76.0,3.0,0.89,MX,1722821986.0
chota,-6.55,-78.65,13.97,81.0,71.0,1.18,PE,1722821578.0
woolgoolga,-30.1106,153.2007,18.93,59.0,97.0,3.9,AU,1722821986.0
saratamata,,,,,,,,
cabedelo,-6.9811,-34.8339,23.37,85.0,39.0,6.39,BR,1722821711.0
nogliki,51.8333,143.1667,15.89,68.0,94.0,7.04,RU,1722821986.0
ust'-kulom,61.6864,53.6902,14.2,99.0,100.0,2.36,RU,1722821986.0
el bauga,18.262,33.9081,30.78,53.0,92.0,3.86,SD,1722821986.0
port saint john's,-31.6229,29.5448,14.21,63.0,100.0,6.82,ZA,1722821986.0
san rafael,-34.6177,-68.3301,11.85,26.0,42.0,0.35,AR,1722821842.0
taltal,-25.4,-70.4833,14.15,81.0,0.0,1.42,CL,1722821987.0
newman,37.3138,-121.0208,37.38,34.0,1.0,2.24,US,1722821987.0
tymovskoye,50.8456,142.655,21.65,36.0,40.0,3.22,RU,1722821987.0
castillos,-34.1667,-53.8333,10.57,81.0,99.0,2.07,UY,1722821984.0
new norfolk,-42.7826,147.0587,14.4,49.0,7.0,4.24,AU,1722821987.0
candido mendes,-1.4467,-45.7167,23.55,91.0,8.0,1.21,BR,1722821987.0
parauna,-16.9478,-50.4486,20.77,38.0,0.0,1.62,BR,1722821987.0
labrador city,52.9463,-66.9114,13.99,69.0,75.0,5.36,CA,1722821987.0
qina,26.1642,32.7267,32.2,18.0,79.0,2.39,EG,1722821987.0
nagqu,31.5,92.0,9.37,64.0,0.0,1.41,CN,1722821987.0
cheney,47.4874,-117.5758,28.19,41.0,20.0,4.63,US,1722821992.0
puerto baquerizo moreno,-0.9,-89.6,19.78,84.0,30.0,4.95,EC,1722821992.0
galliano,29.4422,-90.2992,28.33,83.0,0.0,0.0,US,1722821992.0
abepura,-2.6333,140.5833,27.45,78.0,94.0,2.57,ID,1722821992.0
la passe,45.5549,-0.8967,19.13,91.0,0.0,2.59,FR,1722821992.0
hayma',,,,,,,,
bani walid,31.7566,13.9942,24.0,87.0,0.0,5.6,LY,1722821992.0
kone,-21.0595,164.8658,25.26,40.0,0.0,4.87,NC,1722821992.0
melfi,40.9965,15.6514,21.39,62.0,6.0,1.21,IT,1722821992.0
basco,20.4487,121.9702,29.18,72.0,42.0,3.24,PH,1722821992.0
moyale,3.5167,39.0584,17.31,83.0,98.0,5.1,KE,1722821993.0
paradip garh,20.3167,86.6167,29.17,77.0,100.0,3.3,IN,1722821993.0
avarua,-21.2078,-159.775,25.03,69.0,20.0,4.12,CK,1722821993.0
mount gambier,-37.8333,140.7667,13.79,50.0,9.0,1.68,AU,1722821993.0
pacocha,-17.5833,-71.3333,14.52,90.0,7.0,1.04,PE,1722821993.0
port lincoln,-34.7333,135.8667,13.5,65.0,6.0,0.94,AU,1722821763.0
bodo,67.28,14.405,18.21,72.0,0.0,6.69,NO,1722821993.0
portland,45.5234,-122.6762,33.22,41.0,20.0,3.6,US,1722821876.0
flying fish cove,-10.4217,105.6791,24.82,88.0,100.0,5.66,CX,1722821993.0
ta`u,-14.2336,-169.5144,26.98,63.0,100.0,2.12,AS,1722821993.0
saint-pierre,-21.3393,55.4781,18.82,55.0,20.0,4.12,RE,1722821993.0
kangding,30.0513,101.9603,23.09,62.0,0.0,1.14,CN,1722821993.0
tefe,-3.3542,-64.7114,24.23,87.0,93.0,1.05,BR,1722821993.0
banda aceh,5.5577,95.3222,29.17,67.0,95.0,4.32,ID,1722821993.0
badagry,6.4167,2.8833,24.06,85.0,30.0,4.1,NG,1722821993.0
la sarre,48.8002,-79.1996,16.79,50.0,72.0,2.9,CA,1722821993.0
preobrazheniye,42.9019,133.9064,20.74,68.0,98.0,3.31,RU,1722821993.0
tralee,52.2704,-9.7026,17.24,99.0,100.0,3.05,IE,1722821993.0
mount pearl,47.5166,-52.7813,20.81,96.0,100.0,6.69,CA,1722821973.0
wittenberge,53.0,11.75,13.33,85.0,100.0,2.23,DE,1722821993.0
polatli,39.5772,32.1413,21.88,45.0,0.0,2.2,TR,1722821993.0
cortez,37.3489,-108.5859,32.42,19.0,0.0,5.14,US,1722821981.0
mirny,62.5353,113.9611,20.78,44.0,46.0,2.17,RU,1722821994.0
tutong,4.8,114.65,25.05,83.0,34.0,2.07,BN,1722821994.0
vredendal,-31.6683,18.5012,6.61,82.0,5.0,1.26,ZA,1722821994.0
kill devil hills,36.0307,-75.676,26.66,88.0,0.0,5.14,US,1722821994.0
shitanjing,39.2342,106.3439,27.97,33.0,13.0,2.45,CN,1722821994.0
kendall west,25.7065,-80.4388,26.12,92.0,0.0,3.6,US,1722821994.0
vilyuysk,63.7553,121.6247,21.39,34.0,62.0,5.0,RU,1722821994.0
balykshi,47.0667,51.8667,21.0,88.0,0.0,2.0,KZ,1722821994.0
mtwara,-10.2667,40.1833,19.83,90.0,4.0,2.94,TZ,1722821994.0
tangalle,6.024,80.7911,26.09,78.0,100.0,4.98,LK,1722821994.0
quellon,-43.1167,-73.6167,7.27,94.0,100.0,2.15,CL,1722821994.0
al bawiti,28.3492,28.8659,25.84,36.0,53.0,2.4,EG,1722821994.0
karatas,36.582,35.3701,28.08,73.0,31.0,2.15,TR,1722821994.0
lenti,46.624,16.5386,16.6,74.0,100.0,1.29,HU,1722821994.0
andergrove,-21.0833,149.1833,21.47,72.0,93.0,5.04,AU,1722821994.0
nobeoka,32.5833,131.6667,30.69,72.0,2.0,2.5,JP,1722821994.0
wauchope,-31.45,152.7333,19.52,63.0,100.0,1.46,AU,1722821994.0
pointe-noire,-4.7761,11.8635,22.04,83.0,75.0,1.54,CG,1722821994.0
puerto yuca,2.9383,-73.2083,23.03,95.0,99.0,0.89,CO,1722821999.0
shiraz,29.6036,52.5388,22.69,35.0,20.0,2.06,IR,1722821999.0
el calafate,-50.3408,-72.2768,0.41,91.0,96.0,2.51,AR,1722821994.0
nyurba,63.2842,118.3319,19.49,51.0,52.0,3.41,RU,1722822000.0
uaua,-9.8414,-39.4817,18.71,76.0,0.0,5.74,BR,1722822000.0
astoria,46.1879,-123.8313,22.59,83.0,0.0,6.71,US,1722822000.0
deltebre,40.7499,0.7868,25.75,76.0,0.0,2.53,ES,1722822000.0
tasbuget,,,,,,,,
tommot,58.9564,126.2925,15.35,97.0,100.0,2.15,RU,1722822000.0
olyokminsk,60.3736,120.4264,14.61,98.0,100.0,2.87,RU,1722822000.0
mariental,-24.6333,17.9667,5.94,90.0,53.0,3.85,NA,1722822000.0
klyuchi,52.2667,79.1667,22.16,57.0,24.0,3.63,RU,1722822000.0
kuruman,-27.4524,23.4325,3.33,89.0,100.0,4.41,ZA,1722822000.0
mata-utu,-13.2816,-176.1745,27.0,73.0,100.0,3.35,WF,1722822000.0
san antonio de pale,-1.4014,5.6325,22.12,69.0,91.0,2.73,GQ,1722822000.0
kirakira,-10.4544,161.9205,26.26,88.0,100.0,6.19,SB,1722822000.0
yangor,,,,,,,,
alofi,-19.0595,-169.9187,26.94,78.0,75.0,4.63,NU,1722822000.0
bol,13.4586,14.7147,26.02,82.0,100.0,6.79,TD,1722822000.0
musay'id,,,,,,,,
pokhara,28.2333,83.9833,23.32,91.0,86.0,0.79,NP,1722822001.0
outjo,-20.1167,16.15,13.05,27.0,0.0,1.86,NA,1722822001.0
igarka,67.4667,86.5833,10.94,59.0,74.0,6.04,RU,1722822001.0
guadalupe,25.6833,-100.25,31.79,51.0,0.0,3.09,MX,1722821760.0
tranovaho,,,,,,,,
mahanoro,-19.9,48.8,16.76,86.0,10.0,2.11,MG,1722822001.0
praia da vitoria,38.7333,-27.0667,25.14,88.0,20.0,2.9,PT,1722822001.0
toliara,-23.35,43.6667,18.43,59.0,0.0,2.06,MG,1722822001.0
east london,-33.0153,27.9116,13.64,49.0,6.0,9.29,ZA,1722822001.0
kununurra,-15.7667,128.7333,27.99,39.0,1.0,4.63,AU,1722822001.0
puerto cabezas,14.0351,-83.3888,26.07,89.0,9.0,2.18,NI,1722822001.0
grajewo,53.6473,22.4554,14.98,98.0,100.0,1.45,PL,1722822001.0
kamennomostskiy,44.2983,40.1856,16.81,94.0,0.0,1.91,RU,1722822001.0
ciechocinek,52.8791,18.7951,16.88,97.0,100.0,1.99,PL,1722822001.0
najran,17.4924,44.1277,30.36,37.0,100.0,1.98,SA,1722822001.0
port isabel,26.0734,-97.2086,30.04,76.0,0.0,4.12,US,1722822001.0
lijiang,26.8688,100.2207,19.62,78.0,62.0,1.03,CN,1722822002.0
tual,-5.6667,132.75,25.09,85.0,74.0,9.08,ID,1722822002.0
fortuna,40.5982,-124.1573,16.63,92.0,100.0,2.06,US,1722821924.0
egilsstadir,65.2653,-14.3948,10.95,82.0,100.0,8.75,IS,1722822002.0
al artawiyah,26.5053,45.3444,28.51,13.0,11.0,3.53,SA,1722822002.0
carnarvon,-24.8667,113.6333,18.86,42.0,0.0,3.87,AU,1722822002.0
